id;category;title;price;image_url
1;VEGETABLE;Account;53676;Assistant
2;BREAD;monetize Consultant wireless;16316;reboot
3;SEASONING;magenta THX;6602;deposit Centers Metal
4;SEASONING;Metical Incredible;54662;Internal intermediate
5;VEGETABLE;green Malagasy;32770;Drive Australian
6;FRUITS;Wooden;70336;aggregate Security Data
7;VEGETABLE;Dynamic Sports;86396;Personal Steel
8;FRUITS;intangible Prairie;14557;CSS Bike
9;FRUITS;Central Intelligent;88292;Checking Account Renminbi
10;VEGETABLE;multi-byte Underpass project;82676;Fantastic
